语义路径模式 (Semantic Path Pattern),出现频次 (Frequency),样例 (Examples)
Method → 面向 → Method,4,[数模联动]--(结合)-->[机器学习方法]; [数模联动]--(结合)-->[统计数据驱动方法]
Method → 汇集 包括 → Method,3,[故障诊断技术]--(应用)-->[深度学习]; [故障诊断技术]--(基于)-->[信号处理]
Method → 面对 为了 → Performance Metric,2,[航电系统综合集成]--(提升)-->[大型客机安全性]; [航电系统综合集成]--(提升)-->[空域运行效能]
System/Component → 面对 提出 → System/Component,2,[大型客机航电系统]--(包含)-->[飞行管理]; [大型客机航电系统]--(包含)-->[通导监视]
Problem → 面向 → System/Component,2,[剩余寿命预测]--(针对)-->[随机退化设备]; [剩余寿命预测]--(应用于)-->[航空发动机]
System/Component → 是 提出 → Application,2,[健康管理系统]--(具有核心功能)-->[故障诊断]; [健康管理系统]--(具有核心功能)-->[故障预测]
Method → 融合 针对 → Problem,2,[MagicGrid方法论]--(解决)-->[架构动态优化难题]; [MagicGrid方法论]--(解决)-->[复杂系统需求边界模糊]
System/Component → 系统 → Method,1,[大型客机航电系统]--(需要)-->[航电系统综合集成]
Method → 面对 结合 → Research Problem,1,[航电系统综合集成]--(是)-->[关键技术]
Model → 提出 面对 → System/Component,1,[综合模块化航电]--(是)-->[航电系统架构]
Method → 监视 通导 性能 → Performance Metric,1,[通导监视]--(提升)-->[通导监视性能]
Method → 安全性 → Method,1,[安全性设计]--(遵循)-->[安全性设计流程]
Application → 为了 面对 → Research Problem,1,[国产大型客机]--(推动)-->[客机综合化航电系统研制]
System/Component → 面对 提出 → Sensor/Parameter,1,[现代综合化航电系统]--(处理)-->[机载信息]
System/Component → 面对 总结 → Performance Metric,1,[航电系统架构]--(决定)-->[功能特征]
Method → 面向 → Problem,1,[数模联动]--(解决)-->[剩余寿命预测]
Problem → 剩余 寿命 预测 量化 不确定性 → Problem,1,[剩余寿命预测]--(面临)-->[不确定性量化]
Method → 数模 联动 思路 提出 为 通过 数据 航空 发动机 多源 监测 → Dataset,1,[数模联动]--(验证于)-->[航空发动机多源监测数据]
Problem → 面向 → Application,1,[剩余寿命预测]--(基于)-->[大数据]
Method → 面向 → Model,1,[数模联动]--(融合)-->[机理模型]
