核心关系 (Core Relation),出现频次 (Frequency),模式样例 (Pattern Examples)
面向,9,[数模联动](数模 联动 思路 提出 为) → 面向 → [剩余寿命预测](结合 问题 量化 预测 剩余 寿命); [剩余寿命预测](剩余 寿命 预测 量化 问题 结合) → 面向 → [随机退化设备](需求 预测 寿命 设备 随机 退化)
融合 针对,5,[MagicGrid方法论](MagicGrid 方法论) → 融合 针对 → [航空发动机健康管理系统](难题 系统); [MagicGrid方法论](MagicGrid 方法论) → 融合 针对 → [架构动态优化难题](难题 架构 动态 优化)
面对 提出,3,[大型客机航电系统](系统 需求) → 面对 提出 → [飞行管理](在 方面 享 管理 与); [大型客机航电系统](系统 需求) → 面对 提出 → [通导监视](在 方面 需 基于 性能 通导 监视)
汇集 致使,3,[航空发动机](航空 发动机) → 汇集 致使 → [振动类故障](频发 故障); [故障诊断技术](技术) → 汇集 致使 → [振动类故障](频发 故障)
汇集 包括,3,[故障诊断技术](技术) → 汇集 包括 → [深度学习](技术 学习 深度); [故障诊断技术](技术) → 汇集 包括 → [信号处理](技术 学习 处理 信号)
面对 为了,2,[航电系统综合集成](系统 需求) → 面对 为了 → [大型客机安全性](提升 效能 客机 大型 安全性); [航电系统综合集成](系统 需求) → 面对 为了 → [空域运行效能](提升 效能 空域 运行)
功能 的,2,[功能分配方法]() → 功能 的 → [功能优化配置](); [功能分配方法]() → 功能 的 → [部件与故障的功能分配]()
是 提出,2,[健康管理系统](健康 管理 系统) → 是 提出 → [故障诊断](方法 针对 故障 和); [健康管理系统](健康 管理 系统) → 是 提出 → [故障预测](方法 针对 故障 和)
健康 管理 系统 发动机,2,[飞机健康管理系统]() → 健康 管理 系统 发动机 → [发动机健康管理系统](); [通用健康管理系统架构]() → 健康 管理 系统 发动机 → [发动机健康管理系统设计]()
构建 具有,2,[研究成果](研究 成果) → 构建 具有 → [预测效率](在 上 降低 提升 效率 预测); [研究成果](研究 成果) → 构建 具有 → [普适参考价值](价值 普适 参考)
为 在,2,[系统正向设计流程](系统 正向 设计 流程 问题 解决) → 为 在 → [功能分配](上 基础 对比 体系 功能); [健康管理系统设计方法](健康 管理 系统 正向 问题 解决) → 为 在 → [功能目标量化](上 基础 对比 体系 功能)
研究 为,2,[研究]() → 研究 为 → [健康管理功能架构体系](解决 问题 正向 系统 健康 管理); [研究]() → 研究 为 → [航空发动机健康管理正向设计流程平台](解决 问题 正向 设计 流程)
系统 滑油,2,[滑油系统仿真模型]() → 系统 滑油 → [滑油系统元件物理特性](); [滑油系统仿真模型]() → 系统 滑油 → [滑油系统健康管理]()
滑油 预测 系统,2,[滑油系统仿真模型]() → 滑油 预测 系统 → [通风、供油、热力、回油等子系统模型](); [滑油系统仿真模型]() → 滑油 预测 系统 → [系统工作参数平均误差]()
系统,1,[大型客机航电系统]() → 系统 → [航电系统综合集成]()
面对 结合,1,[航电系统综合集成](系统 需求) → 面对 结合 → [关键技术](特点 系统 的 技术)
提出 面对,1,[综合模块化航电](综合 控制 方面 在) → 提出 面对 → [航电系统架构](需求 系统)
监视 通导 性能,1,[通导监视]() → 监视 通导 性能 → [通导监视性能]()
安全性,1,[安全性设计]() → 安全性 → [安全性设计流程]()
为了 面对,1,[国产大型客机](大型 客机 效能 提升) → 为了 面对 → [客机综合化航电系统研制](需求 系统)
